CitizenID,FirstName,LastName,Gender,DateOfBirth,City,State,MaritalStatus,EmploymentStatus,AnnualIncome
28,John,Johnson,Non-binary,1988-09-23,Houston,TX,Married,Unemployed,95337
29,Chris,Brown,Male,1950-05-07,New York,NY,Married,Retired,112430
30,John,Anderson,Female,1978-03-03,Phoenix,IL,Widowed,Student,20500
31,Jane,Johnson,Female,1998-10-02,Los Angeles,IL,Married,Employed,53858
32,Chris,Smith,Male,1967-10-04,Houston,NY,Single,Retired,118234
33,Jane,Doe,Male,1952-05-01,Phoenix,IL,Single,Unemployed,25021
34,Jane,Taylor,Male,1975-09-13,Houston,NY,Single,Retired,25288
35,Chris,Taylor,Female,1974-06-18,Houston,CA,Widowed,Unemployed,147147
36,Emily,Taylor,Female,1980-05-05,Los Angeles,NY,Divorced,Unemployed,145171
37,John,Smith,Female,1962-06-26,Los Angeles,TX,Married,Employed,118524
38,John,Brown,Male,1974-09-05,Chicago,CA,Single,Retired,68283
39,Chris,Brown,Non-binary,1965-12-25,Houston,AZ,Single,Student,28785
40,Alex,Brown,Female,1997-08-19,Phoenix,CA,Married,Unemployed,82900
41,Emily,Taylor,Non-binary,1957-05-25,Houston,CA,Divorced,Employed,42758
42,John,Johnson,Male,1977-10-18,New York,TX,Married,Unemployed,95414
43,Jane,Doe,Male,1991-06-08,Chicago,NY,Married,Unemployed,118345
44,Alex,Doe,Male,1965-12-22,New York,CA,Single,Student,58157
45,Chris,Brown,Female,2000-05-06,Houston,CA,Divorced,Student,109095
46,Emily,Taylor,Non-binary,2002-06-04,Los Angeles,TX,Divorced,Employed,21298
47,Emily,Johnson,Non-binary,1953-02-26,Phoenix,IL,Widowed,Retired,40809
48,Jane,Anderson,Female,1996-04-10,Los Angeles,IL,Widowed,Unemployed,62564
49,Pat,Taylor,Male,1954-08-22,New York,TX,Divorced,Retired,136874
50,Jane,Anderson,Non-binary,1997-08-20,New York,AZ,Single,Retired,46939
51,Jane,Brown,Female,1994-03-29,Phoenix,AZ,Divorced,Employed,81748
52,John,Johnson,Female,1981-06-25,Chicago,NY,Married,Employed,94548
53,Chris,Anderson,Female,1979-08-25,Houston,IL,Married,Unemployed,144352
54,Jane,Johnson,Male,1966-08-09,Los Angeles,IL,Single,Unemployed,100430
55,Jane,Johnson,Male,1983-02-02,Phoenix,AZ,Divorced,Employed,136185
56,John,Doe,Female,1995-10-16,New York,NY,Widowed,Student,71117
57,Chris,Anderson,Non-binary,1975-04-18,Houston,AZ,Married,Student,71325
58,Alex,Doe,Female,1994-12-13,Houston,TX,Single,Retired,54320
59,John,Smith,Female,1956-02-10,Los Angeles,CA,Single,Unemployed,131590
60,Jane,Taylor,Male,1978-08-04,Los Angeles,IL,Divorced,Student,33278
61,Emily,Johnson,Female,1980-08-10,New York,CA,Widowed,Employed,118318
62,John,Doe,Non-binary,1956-06-14,Chicago,NY,Divorced,Student,38452
63,Chris,Taylor,Male,1976-08-14,Chicago,TX,Married,Unemployed,101470
64,Pat,Smith,Male,1969-06-06,Phoenix,TX,Single,Retired,146259
65,Jane,Taylor,Male,1979-01-09,Chicago,IL,Divorced,Retired,95954
66,Chris,Doe,Female,1999-01-25,Phoenix,AZ,Divorced,Student,61469
67,Pat,Anderson,Non-binary,1972-10-11,Chicago,CA,Single,Unemployed,96787
68,Emily,Brown,Non-binary,1976-05-14,Phoenix,CA,Widowed,Retired,103338
69,Alex,Smith,Non-binary,1965-07-11,Phoenix,AZ,Married,Unemployed,125609
70,Pat,Doe,Non-binary,1973-04-08,New York,CA,Single,Unemployed,31792
71,Alex,Taylor,Female,1990-01-05,Phoenix,IL,Divorced,Retired,52885
72,Alex,Johnson,Non-binary,2004-03-22,New York,TX,Divorced,Student,41924
73,Chris,Smith,Female,1974-06-21,Los Angeles,TX,Divorced,Unemployed,26012
74,Jane,Smith,Male,1994-03-09,New York,AZ,Widowed,Unemployed,33626
75,Pat,Johnson,Non-binary,1952-03-29,Chicago,AZ,Single,Employed,76424
76,John,Anderson,Male,1955-02-07,Chicago,TX,Married,Retired,100938
77,Jane,Smith,Female,1967-08-12,Los Angeles,CA,Divorced,Employed,41150
78,Chris,Doe,Male,1985-05-22,Los Angeles,IL,Divorced,Retired,40567
79,Alex,Smith,Non-binary,1977-12-27,Chicago,IL,Divorced,Unemployed,61808
80,Pat,Brown,Non-binary,1972-03-30,Los Angeles,IL,Single,Unemployed,21647
81,John,Anderson,Female,1997-02-04,Houston,CA,Divorced,Student,121689
82,John,Smith,Male,1954-10-27,New York,NY,Single,Employed,53808
83,John,Taylor,Non-binary,1981-05-17,Chicago,IL,Widowed,Employed,145849
84,Jane,Doe,Female,1987-08-14,Los Angeles,TX,Widowed,Employed,40112
85,Jane,Brown,Male,1970-12-30,Phoenix,IL,Divorced,Employed,42767
86,Pat,Johnson,Female,2000-09-29,Chicago,AZ,Widowed,Employed,130414
87,Alex,Brown,Non-binary,1996-06-11,Los Angeles,CA,Divorced,Student,30286
88,Emily,Taylor,Female,1975-08-19,New York,NY,Single,Unemployed,58175
89,Pat,Taylor,Female,1964-01-19,Houston,AZ,Single,Employed,54114
90,Emily,Smith,Non-binary,1953-10-11,Phoenix,IL,Widowed,Unemployed,99798
91,John,Doe,Male,1966-01-08,Houston,IL,Married,Employed,37421
92,Alex,Anderson,Non-binary,1973-03-30,Houston,NY,Married,Student,108981
93,Alex,Taylor,Non-binary,2001-12-21,New York,AZ,Single,Retired,78607
94,Pat,Doe,Non-binary,1971-05-25,Houston,AZ,Single,Unemployed,65380
95,Emily,Doe,Female,1996-03-21,Los Angeles,NY,Single,Unemployed,113287
96,Pat,Doe,Non-binary,1951-03-18,Houston,CA,Single,Unemployed,79789
97,Pat,Doe,Female,1974-05-16,New York,NY,Single,Retired,84073
98,John,Smith,Female,1961-08-27,New York,CA,Single,Student,43642
99,Alex,Johnson,Non-binary,1993-11-10,Houston,NY,Widowed,Student,130401
100,Alex,Doe,Non-binary,1958-11-01,Houston,CA,Divorced,Unemployed,24620
101,John,Doe,Male,1989-12-20,New York,CA,Married,Unemployed,86133
102,Chris,Anderson,Male,1959-10-29,Chicago,CA,Married,Student,33343
103,Alex,Doe,Female,1968-11-30,Houston,CA,Divorced,Student,46077
104,Alex,Doe,Non-binary,1962-02-12,New York,NY,Married,Employed,81625
105,John,Smith,Non-binary,2001-06-08,Phoenix,TX,Single,Retired,126037
106,Alex,Smith,Female,2001-03-14,Houston,IL,Widowed,Unemployed,149612
107,Pat,Doe,Male,2004-06-04,New York,AZ,Widowed,Student,37930
108,John,Johnson,Female,1986-09-29,Houston,NY,Married,Student,36652
109,Pat,Anderson,Female,1991-08-23,Los Angeles,TX,Divorced,Retired,64662
110,John,Taylor,Female,1991-10-11,Phoenix,NY,Widowed,Employed,94682
111,Emily,Brown,Male,1997-10-23,Chicago,IL,Married,Unemployed,116674
112,John,Doe,Female,1969-08-06,Chicago,IL,Single,Retired,141644
113,Jane,Johnson,Non-binary,2001-11-28,Phoenix,AZ,Single,Student,51084
114,Chris,Brown,Male,1963-11-07,Los Angeles,AZ,Married,Student,132712
115,Chris,Johnson,Female,1998-07-21,Los Angeles,TX,Married,Employed,51167
116,Alex,Doe,Female,1994-06-03,Chicago,AZ,Divorced,Student,110780
117,Emily,Doe,Male,1982-07-12,New York,AZ,Single,Employed,89232
118,Alex,Taylor,Male,1988-01-28,Los Angeles,CA,Single,Employed,79099
119,Alex,Johnson,Male,1975-04-06,Chicago,AZ,Divorced,Unemployed,63924
120,John,Smith,Female,1994-07-24,Houston,NY,Widowed,Student,34345
121,Jane,Anderson,Male,1965-02-28,Chicago,CA,Widowed,Retired,25602
122,John,Doe,Female,1958-11-17,New York,CA,Divorced,Retired,117963
123,Emily,Smith,Non-binary,1975-04-22,Chicago,AZ,Married,Employed,84378
124,Pat,Anderson,Female,1998-01-17,Phoenix,IL,Divorced,Student,37423
125,Alex,Doe,Non-binary,1990-08-21,Chicago,CA,Married,Retired,66377
126,Alex,Brown,Non-binary,1989-04-01,Los Angeles,NY,Single,Student,78840
127,Emily,Brown,Female,1999-05-25,Chicago,AZ,Married,Unemployed,121229
128,Pat,Brown,Non-binary,1983-07-09,New York,CA,Widowed,Retired,105649
129,Jane,Doe,Female,1976-10-09,Los Angeles,TX,Widowed,Employed,100133
130,John,Anderson,Female,1973-04-16,Los Angeles,IL,Divorced,Unemployed,23922
131,Pat,Doe,Female,1986-01-21,Houston,TX,Married,Employed,128999
132,Jane,Johnson,Female,1954-06-22,Phoenix,CA,Divorced,Employed,132414
133,Pat,Anderson,Non-binary,1981-09-27,New York,IL,Single,Unemployed,105120
134,Jane,Taylor,Non-binary,1974-12-19,Phoenix,IL,Single,Employed,134092
135,Alex,Smith,Male,1965-11-19,Los Angeles,AZ,Single,Student,87241
136,Emily,Anderson,Male,1962-02-09,New York,CA,Divorced,Student,41360
137,Emily,Johnson,Male,1967-02-23,New York,IL,Widowed,Student,146142
138,Emily,Anderson,Male,1997-01-26,Houston,IL,Divorced,Employed,68832
139,Pat,Smith,Female,1974-09-09,Los Angeles,AZ,Widowed,Unemployed,76794
140,Alex,Doe,Non-binary,1970-11-16,Phoenix,IL,Single,Student,34050
141,Jane,Smith,Female,1986-06-19,New York,NY,Divorced,Employed,26981
142,Alex,Taylor,Female,1969-10-28,Chicago,NY,Divorced,Employed,55598
143,Pat,Anderson,Non-binary,1983-03-08,Phoenix,AZ,Widowed,Student,115350
144,Chris,Anderson,Female,1995-01-21,Chicago,AZ,Widowed,Retired,70038
145,Pat,Taylor,Female,1980-04-26,New York,TX,Widowed,Employed,64332
146,Emily,Doe,Non-binary,1991-02-24,Chicago,AZ,Widowed,Student,137298
147,Jane,Anderson,Non-binary,1988-01-10,Chicago,AZ,Widowed,Retired,100053
148,Alex,Johnson,Male,1997-08-26,New York,AZ,Widowed,Unemployed,54711
149,Jane,Taylor,Female,2001-04-16,Chicago,NY,Married,Student,102635
150,Jane,Smith,Male,1963-09-02,Chicago,IL,Widowed,Employed,33632
151,Chris,Doe,Non-binary,1994-12-27,Houston,AZ,Divorced,Employed,115197
152,Chris,Johnson,Non-binary,1962-05-27,New York,NY,Widowed,Unemployed,36318
153,Pat,Smith,Male,1990-03-25,Los Angeles,CA,Single,Employed,31808
154,Pat,Brown,Non-binary,1969-06-25,Chicago,TX,Married,Employed,127186
155,Pat,Taylor,Non-binary,1950-12-15,Chicago,NY,Married,Student,144359
156,Emily,Smith,Female,1995-11-01,Houston,IL,Divorced,Employed,146505
157,Jane,Smith,Female,1992-02-15,Houston,AZ,Single,Employed,87803
158,Alex,Anderson,Non-binary,1992-12-08,Los Angeles,CA,Married,Unemployed,25571
159,Pat,Anderson,Female,1990-02-10,Chicago,AZ,Widowed,Unemployed,65313
160,Pat,Johnson,Female,2004-01-10,Phoenix,TX,Widowed,Retired,142308
161,Chris,Doe,Male,1982-01-22,New York,TX,Widowed,Retired,83982
162,Emily,Doe,Female,1977-03-14,New York,IL,Married,Unemployed,57326
163,Chris,Smith,Male,1978-09-09,Los Angeles,IL,Widowed,Employed,130429
164,Pat,Smith,Non-binary,1970-05-16,Los Angeles,IL,Married,Employed,63157
165,Emily,Brown,Female,1972-09-12,Chicago,IL,Married,Employed,48762
166,Alex,Smith,Non-binary,1959-09-01,Houston,AZ,Widowed,Retired,132009
167,Emily,Anderson,Female,1994-05-16,Houston,TX,Single,Student,117868
168,Chris,Smith,Male,2000-10-22,Phoenix,AZ,Divorced,Retired,77132
169,John,Anderson,Male,1966-12-21,Phoenix,CA,Single,Retired,121595
170,Chris,Johnson,Female,1952-10-28,Houston,NY,Single,Student,114265
171,Jane,Brown,Female,1950-03-19,Los Angeles,TX,Divorced,Unemployed,22213
172,Pat,Johnson,Non-binary,1988-05-17,Chicago,NY,Married,Student,70357
173,Pat,Smith,Female,1990-12-23,Houston,CA,Single,Student,70567
174,Chris,Smith,Non-binary,1976-09-30,Phoenix,IL,Married,Employed,51355
175,Alex,Anderson,Non-binary,1968-04-22,Los Angeles,AZ,Widowed,Retired,47489
176,Alex,Smith,Non-binary,2001-05-07,New York,NY,Divorced,Unemployed,36983
177,Emily,Taylor,Non-binary,1999-05-03,Chicago,AZ,Married,Unemployed,22625
178,Jane,Taylor,Non-binary,1964-04-24,Chicago,NY,Married,Employed,146864
179,John,Doe,Male,2003-03-23,New York,CA,Single,Employed,22701
180,John,Anderson,Male,1984-07-13,Los Angeles,IL,Single,Retired,149846
181,Pat,Anderson,Female,1991-04-06,New York,NY,Single,Retired,126488
182,Emily,Doe,Male,2004-05-31,Phoenix,AZ,Married,Student,147160
183,John,Anderson,Male,1958-02-04,Houston,CA,Divorced,Unemployed,93027
184,Jane,Taylor,Female,1972-08-20,Houston,AZ,Single,Employed,131344
185,Pat,Doe,Female,1995-12-31,Phoenix,TX,Divorced,Employed,64086
186,Pat,Brown,Female,1973-09-01,Houston,TX,Married,Student,27738
187,Emily,Anderson,Non-binary,2002-11-16,Chicago,NY,Single,Student,33584
188,Alex,Johnson,Male,1976-02-07,Chicago,TX,Divorced,Student,31386
189,Pat,Anderson,Male,1968-11-30,Phoenix,IL,Divorced,Unemployed,145695
190,Chris,Johnson,Non-binary,1952-08-10,Houston,TX,Married,Employed,139055
191,Jane,Brown,Female,1982-04-30,Chicago,IL,Widowed,Employed,103941
192,Emily,Smith,Female,1984-10-20,New York,NY,Divorced,Student,135119
193,Emily,Doe,Non-binary,1988-03-05,Chicago,CA,Widowed,Employed,92745
194,Chris,Doe,Male,2002-06-19,New York,IL,Married,Unemployed,33318
195,Emily,Taylor,Male,1986-05-23,Houston,AZ,Divorced,Unemployed,50447
196,Pat,Johnson,Male,1953-12-27,New York,TX,Divorced,Unemployed,98193
197,Chris,Smith,Female,1962-01-29,Los Angeles,NY,Single,Student,136836
198,Alex,Anderson,Male,1997-04-13,Houston,IL,Single,Student,132390
199,John,Taylor,Male,1963-10-09,Phoenix,TX,Widowed,Unemployed,25848
200,Chris,Johnson,Male,1988-07-13,Los Angeles,TX,Married,Unemployed,144338
201,Alex,Brown,Female,1958-04-11,Chicago,TX,Single,Employed,47292
202,John,Taylor,Male,1976-08-07,New York,TX,Widowed,Retired,33712
203,Jane,Johnson,Non-binary,1981-06-06,Chicago,NY,Married,Employed,39699
204,Jane,Taylor,Female,1984-12-21,New York,NY,Married,Retired,34139
205,Chris,Johnson,Female,1982-11-01,Houston,TX,Married,Student,149107
206,Emily,Brown,Male,1993-12-12,Chicago,CA,Widowed,Student,126136
207,Pat,Johnson,Female,1978-10-19,New York,CA,Widowed,Employed,82067
208,Chris,Smith,Male,1957-09-04,Chicago,CA,Married,Unemployed,41742
209,John,Smith,Female,1983-06-01,Chicago,NY,Married,Unemployed,89676
210,Pat,Anderson,Female,1989-07-11,Phoenix,CA,Divorced,Student,62971
211,Pat,Doe,Female,1962-05-23,Chicago,TX,Married,Retired,144073
212,Jane,Taylor,Female,1995-02-13,Phoenix,TX,Widowed,Student,33837
213,Pat,Brown,Female,1998-03-24,Houston,TX,Single,Student,88653
214,Jane,Johnson,Male,1978-01-10,Los Angeles,IL,Divorced,Unemployed,28683
215,Chris,Taylor,Male,1975-02-13,New York,IL,Divorced,Employed,145291
216,Emily,Taylor,Female,1986-07-08,New York,IL,Divorced,Student,148095
217,Jane,Anderson,Female,1989-03-14,Phoenix,TX,Divorced,Unemployed,42455
218,Pat,Brown,Male,1964-07-21,Los Angeles,TX,Widowed,Student,148790
219,John,Smith,Male,1969-07-06,Chicago,AZ,Married,Employed,59490
220,Alex,Anderson,Male,1959-08-19,Houston,TX,Widowed,Employed,67831
221,John,Brown,Female,1991-07-15,Phoenix,TX,Widowed,Employed,137060
222,Jane,Brown,Male,1967-02-04,New York,NY,Married,Student,87735
223,Emily,Johnson,Non-binary,1968-08-02,Los Angeles,CA,Divorced,Employed,55053
224,John,Smith,Male,1971-07-22,Chicago,NY,Single,Retired,74879
225,Pat,Anderson,Non-binary,1990-10-28,Chicago,AZ,Widowed,Employed,36084
226,Pat,Taylor,Female,1956-05-09,New York,CA,Married,Retired,132911
227,Alex,Smith,Male,1964-05-16,New York,CA,Married,Student,97455
228,Alex,Anderson,Male,1968-07-23,Chicago,NY,Single,Employed,105031
229,Jane,Smith,Non-binary,2003-08-20,Chicago,IL,Divorced,Unemployed,87800
230,Chris,Anderson,Male,1975-04-14,Chicago,CA,Single,Employed,111730
231,Chris,Johnson,Non-binary,1980-03-22,Houston,NY,Divorced,Unemployed,102906
232,Alex,Brown,Male,1951-02-22,Phoenix,CA,Married,Employed,93053
233,Pat,Taylor,Female,1981-12-07,Los Angeles,TX,Single,Retired,148933
234,Chris,Taylor,Male,1989-09-20,Houston,CA,Widowed,Student,28982
235,Emily,Anderson,Female,1995-05-31,New York,NY,Widowed,Employed,77927
236,Pat,Smith,Female,1999-10-11,Phoenix,AZ,Widowed,Retired,102723
237,Emily,Doe,Non-binary,1990-02-05,Chicago,NY,Widowed,Unemployed,51574
238,Alex,Doe,Female,1966-01-31,Houston,NY,Married,Retired,43378
239,John,Anderson,Male,1956-04-28,Phoenix,IL,Widowed,Retired,85252
240,Jane,Taylor,Female,1951-06-20,Phoenix,AZ,Widowed,Retired,53263
241,Alex,Smith,Non-binary,1969-02-13,Chicago,CA,Widowed,Student,128244
242,Jane,Doe,Non-binary,1954-01-03,New York,NY,Married,Unemployed,89805
243,Alex,Brown,Female,1981-11-02,Phoenix,AZ,Divorced,Employed,135441
244,Alex,Taylor,Non-binary,1950-12-30,Los Angeles,IL,Single,Unemployed,96875
245,Emily,Anderson,Female,1992-02-17,Houston,CA,Widowed,Student,27288
246,Chris,Anderson,Male,1986-02-17,Phoenix,CA,Divorced,Employed,149509
247,Alex,Brown,Non-binary,1963-10-29,Chicago,TX,Single,Employed,97954
248,Jane,Brown,Female,2004-08-30,New York,AZ,Divorced,Unemployed,97143
249,Emily,Doe,Male,1966-05-12,Phoenix,IL,Married,Student,145757
250,Emily,Brown,Female,1964-07-25,Los Angeles,CA,Widowed,Unemployed,102828
251,Chris,Anderson,Male,1965-09-28,Chicago,CA,Widowed,Employed,65390
252,Pat,Brown,Female,1994-02-16,Houston,NY,Widowed,Student,129384
253,John,Brown,Male,1986-01-21,New York,NY,Married,Retired,81309
254,John,Taylor,Non-binary,1967-03-16,Phoenix,NY,Married,Retired,101096
255,John,Anderson,Non-binary,1964-05-14,Phoenix,AZ,Single,Retired,133476
256,Jane,Johnson,Female,1950-07-29,Houston,CA,Widowed,Unemployed,149885
257,John,Smith,Male,1982-01-05,New York,CA,Widowed,Student,67838
258,Alex,Smith,Female,1969-04-17,New York,AZ,Single,Student,27093
259,Pat,Taylor,Female,1954-01-13,Chicago,IL,Married,Student,38624
260,Emily,Anderson,Non-binary,1988-07-26,Chicago,AZ,Married,Student,80361
261,Alex,Doe,Non-binary,1954-01-26,Chicago,AZ,Married,Retired,147309
262,Emily,Brown,Female,1995-11-24,Houston,TX,Single,Unemployed,149056
263,Jane,Brown,Female,1969-09-20,New York,CA,Single,Unemployed,68693
264,Chris,Smith,Male,1987-05-03,Los Angeles,CA,Married,Unemployed,91314
265,Chris,Doe,Female,1958-04-04,New York,AZ,Married,Unemployed,110219
266,Chris,Taylor,Female,1983-07-22,Chicago,CA,Single,Student,101640
267,Alex,Doe,Female,1955-07-30,Chicago,CA,Divorced,Student,115595
268,Alex,Taylor,Male,1972-08-25,Los Angeles,CA,Divorced,Student,118594
269,Chris,Anderson,Non-binary,1968-12-03,Chicago,AZ,Divorced,Employed,37478
270,Chris,Brown,Female,1951-04-12,Phoenix,NY,Divorced,Unemployed,99418
271,Emily,Brown,Female,1982-10-13,Houston,NY,Widowed,Unemployed,94154
272,John,Johnson,Non-binary,1990-01-17,Phoenix,CA,Divorced,Retired,31078
273,Pat,Anderson,Male,1961-12-11,Phoenix,AZ,Single,Unemployed,28974
274,Pat,Brown,Male,1965-10-27,Chicago,TX,Married,Employed,130344
275,John,Taylor,Female,2002-03-31,Los Angeles,IL,Widowed,Retired,58678
276,Emily,Anderson,Male,1957-05-04,Houston,NY,Divorced,Unemployed,73138
277,Alex,Brown,Non-binary,1974-03-07,Los Angeles,TX,Divorced,Unemployed,64892
278,Emily,Doe,Non-binary,1973-02-10,Los Angeles,CA,Divorced,Employed,77454
279,Pat,Anderson,Female,1984-01-02,New York,CA,Widowed,Unemployed,44902
280,Alex,Smith,Non-binary,1999-06-23,Phoenix,CA,Single,Student,117642
281,Chris,Anderson,Male,1975-10-12,Chicago,TX,Divorced,Unemployed,102858
282,Emily,Anderson,Non-binary,1973-06-22,Chicago,TX,Married,Student,39544
283,Alex,Doe,Non-binary,2003-11-05,Houston,AZ,Single,Unemployed,80062
284,Emily,Anderson,Female,1951-01-08,Phoenix,CA,Married,Student,136934
285,Alex,Anderson,Female,2002-06-19,Chicago,IL,Single,Unemployed,126246
286,John,Smith,Female,1988-09-09,Phoenix,NY,Divorced,Student,69563
287,John,Brown,Non-binary,1966-06-09,Los Angeles,CA,Single,Retired,97334
288,Alex,Anderson,Non-binary,1997-09-12,Los Angeles,NY,Married,Student,101797
289,Jane,Anderson,Non-binary,1962-08-08,Houston,IL,Divorced,Unemployed,40593
290,John,Brown,Female,2001-10-21,New York,NY,Single,Retired,30621
291,Emily,Brown,Male,1963-07-19,New York,CA,Divorced,Unemployed,110912
292,Pat,Johnson,Non-binary,1959-07-07,Houston,AZ,Divorced,Student,38008
293,Chris,Taylor,Non-binary,1982-09-19,Los Angeles,AZ,Married,Retired,147122
294,Chris,Smith,Non-binary,1978-10-02,Los Angeles,TX,Widowed,Employed,61009
295,Chris,Doe,Male,1990-06-15,New York,CA,Divorced,Employed,57278
296,Pat,Doe,Non-binary,2002-03-29,Chicago,NY,Single,Employed,144472
297,Alex,Smith,Male,1957-01-13,New York,CA,Single,Student,67426
298,Emily,Smith,Male,1976-07-03,Chicago,CA,Widowed,Retired,71854
299,Chris,Taylor,Female,1968-11-22,New York,NY,Married,Unemployed,129935
300,John,Taylor,Male,1951-07-23,Chicago,AZ,Divorced,Retired,141439
301,Alex,Taylor,Male,1981-09-02,Phoenix,NY,Widowed,Unemployed,131101
302,Chris,Doe,Non-binary,1970-08-08,New York,TX,Divorced,Retired,20810
303,Alex,Smith,Male,1991-09-09,Los Angeles,TX,Divorced,Retired,139817
304,Pat,Johnson,Male,1987-04-05,Chicago,CA,Widowed,Unemployed,91810
305,Chris,Brown,Male,1964-05-02,Los Angeles,IL,Widowed,Unemployed,71990
306,John,Johnson,Female,1974-06-21,Chicago,NY,Single,Unemployed,52587
307,John,Johnson,Male,1951-12-25,Chicago,AZ,Widowed,Retired,106143
308,Alex,Doe,Female,1976-09-10,Los Angeles,CA,Divorced,Retired,129919
309,Pat,Brown,Male,1965-02-23,New York,IL,Single,Retired,124723
310,John,Doe,Non-binary,2001-05-04,New York,AZ,Divorced,Unemployed,85047
311,Jane,Smith,Non-binary,1993-08-21,New York,IL,Widowed,Retired,59309
312,Emily,Smith,Non-binary,1979-03-04,Phoenix,CA,Married,Retired,74590
313,Chris,Doe,Male,1956-08-05,Houston,AZ,Married,Retired,67538
314,Pat,Doe,Female,1962-12-26,Phoenix,IL,Widowed,Employed,61250
315,John,Anderson,Non-binary,1998-08-17,New York,NY,Divorced,Retired,53165
316,Jane,Doe,Female,1991-04-28,Houston,TX,Divorced,Unemployed,88952
317,Alex,Taylor,Non-binary,1960-10-16,Chicago,CA,Single,Employed,40380
318,Chris,Brown,Male,1986-08-20,Los Angeles,CA,Married,Retired,45272
319,Jane,Anderson,Female,1952-03-21,New York,IL,Widowed,Unemployed,38055
320,Emily,Johnson,Female,1972-07-14,Phoenix,CA,Married,Unemployed,86387
321,Emily,Smith,Female,1977-12-09,New York,IL,Single,Student,75359
322,John,Taylor,Male,1974-11-06,Los Angeles,IL,Widowed,Unemployed,121197
323,Chris,Brown,Non-binary,1952-02-25,New York,CA,Married,Employed,23457
324,Chris,Taylor,Female,1975-05-14,Phoenix,IL,Divorced,Retired,85830
325,Pat,Johnson,Female,1967-08-17,Chicago,NY,Married,Retired,140355
326,Alex,Johnson,Male,1991-03-17,Houston,IL,Married,Employed,147695
327,John,Johnson,Non-binary,1952-03-26,Los Angeles,CA,Divorced,Employed,80014
328,John,Brown,Male,1974-08-24,Houston,AZ,Divorced,Student,23516
329,Chris,Anderson,Male,1996-05-17,Los Angeles,NY,Widowed,Retired,37038
330,John,Johnson,Non-binary,1967-06-12,Los Angeles,AZ,Widowed,Unemployed,67205
331,John,Taylor,Female,1952-01-30,New York,CA,Single,Student,104181
332,Alex,Doe,Male,1993-11-21,New York,NY,Widowed,Student,130552
333,John,Taylor,Female,1974-12-09,Houston,IL,Married,Retired,113001
334,Emily,Smith,Female,1969-08-09,New York,CA,Widowed,Employed,103546
335,Emily,Brown,Non-binary,1959-05-29,Houston,NY,Married,Retired,137920
336,Pat,Doe,Male,1994-11-24,Los Angeles,TX,Married,Employed,57627
337,Jane,Doe,Female,1991-08-01,Houston,CA,Widowed,Student,51820
338,Jane,Smith,Male,1970-11-07,Houston,NY,Single,Retired,40077
339,Jane,Smith,Non-binary,1961-10-19,New York,CA,Divorced,Employed,40949
340,Emily,Anderson,Male,1970-05-04,New York,CA,Single,Student,84330
341,Emily,Doe,Non-binary,1985-04-06,New York,CA,Widowed,Retired,99369
342,Chris,Anderson,Male,1994-03-04,Los Angeles,IL,Divorced,Employed,89960
343,Pat,Anderson,Female,2003-08-08,New York,CA,Married,Unemployed,20584
